Image,Frequency,Left,Top,Spatial Spread,Duration,Area,Interval
 ,84.0,4.0,957.0,50.0,9.0,213.0,903.0
 ,85.0,56.0,964.0,3.0,1.0,3.0,905.0
702830_original_S_41_T_6_C_43-1-31_GCaMPKI_Duodenum_TTX1uM_secretin500nM3_A2_STMapCell1 copy 2.jpg,1.0,71.0,0.0,16.0,8.0,89.0,87.0
 ,2.0,3.0,13.0,6.0,2.0,8.0,4.0
 ,3.0,0.0,14.0,105.0,19.0,1482.0,91.0
 ,4.0,4.0,18.0,1.0,1.0,1.0,13.0
 ,5.0,45.0,73.0,11.0,2.0,15.0,17.0
 ,6.0,0.0,72.0,105.0,29.0,1508.0,33.0
 ,7.0,0.0,142.0,105.0,18.0,1367.0,37.0
 ,8.0,35.0,155.0,3.0,1.0,3.0,117.0
 ,9.0,0.0,209.0,105.0,19.0,1648.0,104.0
 ,10.0,0.0,226.0,6.0,2.0,12.0,220.0
 ,11.0,0.0,266.0,105.0,25.0,1680.0,161.0
 ,12.0,0.0,327.0,105.0,24.0,1350.0,222.0
 ,13.0,0.0,339.0,51.0,12.0,409.0,288.0
 ,14.0,76.0,383.0,5.0,1.0,5.0,302.0
 ,15.0,84.0,382.0,5.0,1.0,5.0,293.0
 ,16.0,0.0,385.0,105.0,19.0,1357.0,280.0
 ,17.0,55.0,403.0,29.0,10.0,204.0,319.0
 ,18.0,18.0,440.0,8.0,1.0,8.0,414.0
 ,19.0,0.0,443.0,105.0,19.0,1269.0,338.0
 ,20.0,96.0,455.0,7.0,3.0,13.0,352.0
 ,21.0,0.0,496.0,105.0,28.0,1832.0,391.0
 ,22.0,0.0,559.0,105.0,23.0,1335.0,454.0
 ,23.0,40.0,578.0,31.0,11.0,214.0,507.0
 ,24.0,66.0,619.0,11.0,2.0,15.0,542.0
 ,25.0,0.0,620.0,105.0,18.0,1269.0,515.0
 ,26.0,59.0,620.0,5.0,1.0,5.0,556.0
 ,27.0,0.0,677.0,105.0,21.0,1359.0,572.0
 ,28.0,48.0,678.0,1.0,1.0,1.0,629.0
 ,29.0,0.0,736.0,105.0,24.0,1616.0,631.0
 ,30.0,0.0,795.0,105.0,26.0,1612.0,690.0
 ,31.0,63.0,815.0,19.0,9.0,111.0,733.0
 ,32.0,0.0,852.0,105.0,31.0,1627.0,747.0
 ,33.0,96.0,853.0,9.0,2.0,12.0,748.0
 ,34.0,0.0,912.0,105.0,30.0,1933.0,807.0
 ,35.0,47.0,912.0,13.0,3.0,28.0,852.0
702830_original_S_41_T_6_C_43-10-21_GCaMPKI__nicardipine200nM_CNTRL1_A1_STMap.jpg,1.0,0.0,1.0,5.0,2.0,8.0,4.0
 ,2.0,6.0,1.0,1.0,1.0,1.0,6.0
 ,3.0,11.0,0.0,1.0,1.0,1.0,12.0
 ,4.0,0.0,0.0,64.0,75.0,2378.0,64.0
 ,5.0,52.0,6.0,12.0,3.0,22.0,58.0
 ,6.0,3.0,13.0,2.0,1.0,2.0,8.0
 ,7.0,23.0,12.0,4.0,2.0,5.0,15.0
 ,8.0,29.0,32.0,35.0,14.0,273.0,32.0
 ,9.0,29.0,47.0,2.0,2.0,3.0,16.0
 ,10.0,34.0,46.0,4.0,1.0,4.0,8.0
 ,11.0,56.0,46.0,8.0,6.0,25.0,18.0
 ,12.0,33.0,51.0,5.0,2.0,9.0,13.0
 ,13.0,45.0,52.0,11.0,2.0,17.0,4.0
 ,14.0,37.0,55.0,1.0,1.0,1.0,17.0
 ,15.0,2.0,72.0,3.0,1.0,3.0,67.0
 ,16.0,1.0,72.0,13.0,4.0,27.0,58.0
 ,17.0,54.0,75.0,1.0,1.0,1.0,20.0
 ,18.0,58.0,75.0,2.0,1.0,2.0,15.0
 ,19.0,6.0,77.0,4.0,1.0,4.0,67.0
 ,20.0,50.0,77.0,6.0,3.0,15.0,21.0
 ,21.0,30.0,78.0,2.0,1.0,2.0,46.0
 ,22.0,33.0,78.0,3.0,2.0,4.0,42.0
 ,23.0,0.0,81.0,64.0,39.0,1366.0,17.0
 ,24.0,62.0,81.0,2.0,3.0,5.0,17.0
 ,25.0,11.0,86.0,1.0,1.0,1.0,74.0
 ,26.0,3.0,88.0,1.0,2.0,2.0,84.0
 ,27.0,7.0,90.0,8.0,2.0,10.0,75.0
 ,28.0,7.0,93.0,2.0,1.0,2.0,84.0
 ,29.0,0.0,96.0,5.0,2.0,7.0,91.0
 ,30.0,0.0,114.0,14.0,8.0,72.0,100.0
 ,31.0,44.0,119.0,3.0,1.0,3.0,72.0
 ,32.0,16.0,123.0,9.0,2.0,12.0,98.0
 ,33.0,0.0,124.0,12.0,8.0,62.0,112.0
 ,34.0,0.0,124.0,64.0,22.0,705.0,60.0
 ,35.0,61.0,130.0,3.0,2.0,5.0,66.0
 ,36.0,8.0,137.0,1.0,1.0,1.0,128.0
 ,37.0,48.0,143.0,1.0,1.0,1.0,94.0
 ,38.0,41.0,144.0,23.0,7.0,95.0,80.0
 ,39.0,29.0,147.0,11.0,2.0,13.0,107.0
 ,40.0,0.0,150.0,64.0,39.0,1588.0,86.0
 ,41.0,41.0,177.0,3.0,1.0,3.0,133.0
 ,42.0,46.0,178.0,1.0,1.0,1.0,131.0
 ,43.0,0.0,181.0,14.0,7.0,61.0,167.0
 ,44.0,0.0,189.0,12.0,3.0,22.0,177.0
 ,45.0,20.0,190.0,8.0,4.0,16.0,162.0
 ,46.0,29.0,192.0,1.0,1.0,1.0,162.0
 ,47.0,58.0,192.0,1.0,1.0,1.0,133.0
 ,48.0,63.0,193.0,1.0,2.0,2.0,129.0
 ,49.0,19.0,195.0,1.0,1.0,1.0,175.0
 ,50.0,0.0,196.0,64.0,34.0,1495.0,132.0
 ,51.0,51.0,231.0,13.0,3.0,31.0,167.0
 ,52.0,37.0,234.0,12.0,4.0,22.0,185.0
 ,53.0,0.0,239.0,64.0,35.0,1450.0,175.0
 ,54.0,15.0,240.0,1.0,1.0,1.0,224.0
 ,55.0,22.0,271.0,10.0,3.0,16.0,239.0
 ,56.0,0.0,273.0,13.0,4.0,39.0,260.0
 ,57.0,53.0,273.0,3.0,3.0,5.0,217.0
 ,58.0,57.0,273.0,1.0,1.0,1.0,215.0
 ,59.0,50.0,275.0,2.0,1.0,2.0,223.0
 ,60.0,0.0,279.0,64.0,39.0,1313.0,215.0
 ,61.0,40.0,282.0,5.0,1.0,5.0,237.0
 ,62.0,60.0,311.0,4.0,1.0,4.0,247.0
 ,63.0,15.0,315.0,2.0,1.0,2.0,298.0
 ,64.0,40.0,315.0,7.0,2.0,10.0,268.0
 ,65.0,0.0,319.0,64.0,75.0,2966.0,255.0
 ,66.0,2.0,323.0,5.0,1.0,5.0,316.0
 ,67.0,58.0,324.0,6.0,3.0,12.0,260.0
 ,68.0,55.0,328.0,3.0,1.0,3.0,270.0
 ,69.0,17.0,355.0,17.0,4.0,38.0,321.0
 ,70.0,35.0,355.0,3.0,3.0,7.0,317.0
 ,71.0,43.0,359.0,8.0,2.0,13.0,308.0
 ,72.0,63.0,358.0,1.0,1.0,1.0,294.0
 ,73.0,28.0,400.0,7.0,1.0,7.0,365.0
 ,74.0,21.0,402.0,19.0,7.0,67.0,362.0
 ,75.0,19.0,404.0,1.0,1.0,1.0,384.0
 ,76.0,12.0,408.0,5.0,2.0,7.0,391.0
 ,77.0,0.0,410.0,9.0,2.0,15.0,401.0
 ,78.0,15.0,410.0,31.0,6.0,104.0,364.0
 ,79.0,5.0,414.0,9.0,1.0,9.0,400.0
 ,80.0,0.0,415.0,64.0,21.0,890.0,351.0
 ,81.0,0.0,417.0,10.0,2.0,15.0,407.0
 ,82.0,13.0,417.0,1.0,1.0,1.0,403.0
 ,83.0,29.0,434.0,5.0,1.0,5.0,400.0
 ,84.0,53.0,434.0,2.0,1.0,2.0,379.0
 ,85.0,0.0,444.0,13.0,4.0,31.0,431.0
 ,86.0,26.0,444.0,1.0,1.0,1.0,417.0
 ,87.0,29.0,444.0,4.0,1.0,4.0,411.0
 ,88.0,14.0,451.0,1.0,1.0,1.0,436.0
 ,89.0,22.0,451.0,18.0,5.0,43.0,411.0
 ,90.0,39.0,451.0,1.0,1.0,1.0,411.0
 ,91.0,14.0,453.0,1.0,2.0,2.0,438.0
 ,92.0,34.0,455.0,3.0,2.0,4.0,418.0
 ,93.0,17.0,457.0,8.0,2.0,14.0,432.0
 ,94.0,0.0,457.0,64.0,23.0,934.0,393.0
 ,95.0,58.0,457.0,6.0,2.0,9.0,393.0
 ,96.0,39.0,459.0,1.0,1.0,1.0,419.0
 ,97.0,26.0,483.0,5.0,2.0,8.0,452.0
 ,98.0,62.0,487.0,1.0,1.0,1.0,424.0
 ,99.0,35.0,488.0,5.0,2.0,8.0,448.0
 ,100.0,36.0,492.0,7.0,1.0,7.0,449.0
 ,101.0,45.0,493.0,19.0,3.0,51.0,429.0
 ,102.0,0.0,494.0,1.0,1.0,1.0,493.0
 ,103.0,2.0,494.0,14.0,3.0,24.0,478.0
 ,104.0,41.0,494.0,2.0,1.0,2.0,451.0
 ,105.0,20.0,497.0,5.0,2.0,8.0,472.0
 ,106.0,30.0,496.0,1.0,1.0,1.0,465.0
 ,107.0,0.0,498.0,6.0,5.0,26.0,492.0
 ,108.0,22.0,500.0,2.0,1.0,2.0,476.0
 ,109.0,25.0,500.0,9.0,4.0,27.0,466.0
 ,110.0,61.0,506.0,3.0,1.0,3.0,442.0
 ,111.0,0.0,509.0,64.0,25.0,957.0,445.0
 ,112.0,10.0,533.0,34.0,10.0,142.0,489.0
 ,113.0,45.0,536.0,2.0,1.0,2.0,489.0
 ,114.0,0.0,542.0,12.0,2.0,21.0,530.0
 ,115.0,38.0,543.0,1.0,1.0,1.0,504.0
 ,116.0,39.0,543.0,19.0,13.0,108.0,485.0
 ,117.0,0.0,544.0,64.0,29.0,954.0,480.0
 ,118.0,20.0,545.0,1.0,1.0,1.0,524.0
 ,119.0,20.0,547.0,2.0,1.0,2.0,525.0
 ,120.0,23.0,547.0,1.0,1.0,1.0,523.0
 ,121.0,51.0,546.0,1.0,1.0,1.0,494.0
 ,122.0,38.0,549.0,1.0,1.0,1.0,510.0
 ,123.0,32.0,552.0,11.0,4.0,20.0,509.0
 ,124.0,59.0,555.0,1.0,1.0,1.0,495.0
 ,125.0,61.0,555.0,1.0,1.0,1.0,493.0
 ,126.0,9.0,574.0,7.0,3.0,18.0,558.0
 ,127.0,29.0,574.0,8.0,3.0,19.0,537.0
 ,128.0,54.0,574.0,10.0,4.0,18.0,510.0
 ,129.0,5.0,577.0,2.0,1.0,2.0,570.0
 ,130.0,44.0,577.0,14.0,5.0,40.0,519.0
 ,131.0,0.0,581.0,32.0,16.0,160.0,549.0
 ,132.0,61.0,587.0,1.0,1.0,1.0,525.0
 ,133.0,48.0,592.0,1.0,3.0,3.0,543.0
 ,134.0,58.0,594.0,6.0,3.0,9.0,530.0
 ,135.0,46.0,596.0,4.0,1.0,4.0,546.0
 ,136.0,0.0,600.0,64.0,26.0,952.0,536.0
 ,137.0,51.0,615.0,13.0,5.0,43.0,551.0
 ,138.0,32.0,621.0,14.0,4.0,43.0,575.0
 ,139.0,53.0,626.0,11.0,4.0,37.0,562.0
 ,140.0,20.0,628.0,5.0,1.0,5.0,603.0
 ,141.0,31.0,629.0,3.0,4.0,10.0,595.0
 ,142.0,45.0,633.0,16.0,5.0,41.0,572.0
 ,143.0,16.0,635.0,6.0,3.0,13.0,613.0
 ,144.0,35.0,634.0,3.0,1.0,3.0,596.0
 ,145.0,34.0,636.0,11.0,5.0,38.0,591.0
 ,146.0,27.0,639.0,2.0,2.0,3.0,610.0
 ,147.0,58.0,638.0,6.0,2.0,11.0,574.0
 ,148.0,4.0,641.0,1.0,1.0,1.0,636.0
 ,149.0,22.0,640.0,4.0,2.0,4.0,614.0
 ,150.0,0.0,644.0,64.0,24.0,896.0,580.0
 ,151.0,0.0,669.0,38.0,24.0,339.0,631.0
 ,152.0,22.0,671.0,1.0,1.0,1.0,648.0
 ,153.0,30.0,671.0,1.0,1.0,1.0,640.0
 ,154.0,32.0,671.0,2.0,1.0,2.0,637.0
 ,155.0,48.0,673.0,7.0,1.0,7.0,618.0
 ,156.0,10.0,675.0,2.0,1.0,2.0,663.0
 ,157.0,34.0,674.0,2.0,2.0,3.0,638.0
 ,158.0,45.0,678.0,1.0,1.0,1.0,632.0
 ,159.0,47.0,678.0,1.0,2.0,2.0,630.0
 ,160.0,41.0,681.0,7.0,2.0,12.0,633.0
 ,161.0,56.0,685.0,8.0,5.0,20.0,621.0
 ,162.0,0.0,694.0,64.0,20.0,782.0,630.0
 ,163.0,54.0,708.0,10.0,2.0,11.0,644.0
 ,164.0,0.0,711.0,14.0,9.0,72.0,697.0
 ,165.0,32.0,715.0,1.0,1.0,1.0,682.0
 ,166.0,30.0,715.0,11.0,5.0,29.0,674.0
 ,167.0,11.0,718.0,9.0,3.0,18.0,698.0
 ,168.0,44.0,718.0,1.0,1.0,1.0,673.0
 ,169.0,8.0,720.0,4.0,1.0,4.0,708.0
 ,170.0,34.0,721.0,3.0,1.0,3.0,684.0
 ,171.0,59.0,721.0,5.0,4.0,14.0,657.0
 ,172.0,13.0,725.0,11.0,2.0,16.0,701.0
 ,173.0,26.0,726.0,1.0,1.0,1.0,699.0
 ,174.0,0.0,735.0,64.0,26.0,936.0,671.0
 ,175.0,25.0,734.0,14.0,5.0,55.0,695.0
 ,176.0,40.0,736.0,1.0,1.0,1.0,695.0
 ,177.0,49.0,736.0,15.0,2.0,22.0,672.0
 ,178.0,37.0,741.0,2.0,1.0,2.0,702.0
 ,179.0,20.0,757.0,8.0,2.0,10.0,729.0
 ,180.0,41.0,760.0,1.0,1.0,1.0,718.0
 ,181.0,28.0,764.0,5.0,2.0,6.0,731.0
 ,182.0,22.0,777.0,10.0,4.0,31.0,745.0
 ,183.0,0.0,779.0,23.0,4.0,64.0,756.0
 ,184.0,41.0,779.0,1.0,1.0,1.0,737.0
 ,185.0,46.0,778.0,2.0,1.0,2.0,730.0
 ,186.0,53.0,779.0,11.0,2.0,19.0,715.0
 ,187.0,38.0,781.0,1.0,1.0,1.0,742.0
 ,188.0,27.0,782.0,2.0,1.0,2.0,753.0
 ,189.0,0.0,783.0,64.0,19.0,891.0,719.0
 ,190.0,39.0,799.0,6.0,2.0,8.0,754.0
 ,191.0,35.0,804.0,8.0,4.0,18.0,761.0
 ,192.0,41.0,810.0,1.0,1.0,1.0,768.0
 ,193.0,43.0,812.0,5.0,2.0,6.0,764.0
 ,194.0,48.0,817.0,16.0,7.0,42.0,753.0
 ,195.0,2.0,820.0,1.0,2.0,2.0,817.0
 ,196.0,34.0,820.0,12.0,5.0,44.0,774.0
 ,197.0,19.0,824.0,9.0,2.0,17.0,796.0
 ,198.0,0.0,829.0,64.0,14.0,723.0,765.0
 ,199.0,4.0,853.0,11.0,3.0,17.0,838.0
 ,200.0,1.0,854.0,1.0,1.0,1.0,852.0
 ,201.0,2.0,857.0,2.0,2.0,3.0,853.0
 ,202.0,12.0,863.0,25.0,7.0,82.0,826.0
 ,203.0,32.0,868.0,1.0,1.0,1.0,835.0
 ,204.0,0.0,871.0,64.0,24.0,911.0,807.0
 ,205.0,60.0,885.0,2.0,1.0,2.0,823.0
 ,206.0,58.0,887.0,3.0,1.0,3.0,826.0
 ,207.0,3.0,896.0,4.0,1.0,4.0,889.0
 ,208.0,31.0,896.0,5.0,2.0,7.0,860.0
 ,209.0,39.0,897.0,3.0,1.0,3.0,855.0
 ,210.0,30.0,901.0,10.0,2.0,19.0,861.0
 ,211.0,0.0,902.0,29.0,13.0,203.0,873.0
 ,212.0,41.0,903.0,3.0,2.0,4.0,859.0
 ,213.0,57.0,903.0,5.0,2.0,7.0,841.0
 ,214.0,32.0,905.0,5.0,2.0,7.0,868.0
 ,215.0,52.0,905.0,1.0,1.0,1.0,852.0
 ,216.0,44.0,909.0,7.0,2.0,11.0,858.0
 ,217.0,50.0,908.0,5.0,1.0,5.0,853.0
 ,218.0,35.0,913.0,11.0,4.0,16.0,867.0
 ,219.0,0.0,914.0,64.0,16.0,523.0,850.0
 ,220.0,18.0,930.0,10.0,1.0,10.0,902.0
 ,221.0,34.0,935.0,1.0,1.0,1.0,900.0
 ,222.0,36.0,935.0,5.0,1.0,5.0,894.0
 ,223.0,54.0,935.0,2.0,1.0,2.0,879.0
 ,224.0,27.0,946.0,2.0,1.0,2.0,917.0
 ,225.0,50.0,948.0,14.0,10.0,72.0,884.0
 ,226.0,0.0,958.0,2.0,1.0,2.0,956.0
 ,227.0,4.0,958.0,4.0,1.0,4.0,950.0
 ,228.0,52.0,959.0,2.0,2.0,3.0,905.0
 ,229.0,0.0,960.0,41.0,6.0,163.0,919.0
 ,230.0,63.0,962.0,1.0,1.0,1.0,898.0
 ,231.0,49.0,964.0,15.0,2.0,19.0,900.0
702830_original_S_41_T_6_C_43-10-21_GCaMPKI__nicardipine200nM_CNTRL1_A1_STMapCell.jpg,1.0,0.0,0.0,105.0,37.0,1664.0,105.0
 ,2.0,104.0,20.0,1.0,1.0,1.0,85.0
 ,3.0,57.0,24.0,1.0,1.0,1.0,34.0
 ,4.0,1.0,39.0,3.0,1.0,3.0,35.0
 ,5.0,3.0,44.0,1.0,1.0,1.0,40.0
 ,6.0,5.0,44.0,1.0,1.0,1.0,38.0
 ,7.0,9.0,48.0,6.0,1.0,6.0,33.0
 ,8.0,0.0,48.0,105.0,28.0,1662.0,57.0
 ,9.0,63.0,51.0,1.0,2.0,2.0,13.0
 ,10.0,103.0,51.0,2.0,2.0,3.0,54.0
 ,11.0,48.0,53.0,7.0,1.0,7.0,2.0
 ,12.0,57.0,52.0,3.0,1.0,3.0,8.0
 ,13.0,61.0,52.0,1.0,1.0,1.0,10.0
 ,14.0,27.0,77.0,3.0,1.0,3.0,47.0
 ,15.0,31.0,77.0,1.0,1.0,1.0,45.0
 ,16.0,52.0,82.0,4.0,1.0,4.0,26.0
 ,17.0,0.0,91.0,2.0,2.0,4.0,89.0
 ,18.0,104.0,91.0,1.0,3.0,3.0,14.0
 ,19.0,3.0,92.0,1.0,1.0,1.0,88.0
 ,20.0,0.0,92.0,105.0,25.0,1619.0,13.0
 ,21.0,3.0,119.0,1.0,1.0,1.0,115.0
 ,22.0,5.0,119.0,1.0,1.0,1.0,113.0
 ,23.0,3.0,121.0,9.0,3.0,18.0,109.0
 ,24.0,25.0,123.0,1.0,1.0,1.0,97.0
 ,25.0,0.0,123.0,63.0,25.0,550.0,60.0
 ,26.0,0.0,129.0,2.0,1.0,2.0,127.0
 ,27.0,3.0,129.0,5.0,2.0,8.0,121.0
 ,28.0,0.0,132.0,17.0,10.0,104.0,115.0
 ,29.0,0.0,147.0,105.0,26.0,1448.0,42.0
 ,30.0,69.0,147.0,4.0,1.0,4.0,74.0
 ,31.0,29.0,171.0,1.0,1.0,1.0,141.0
 ,32.0,35.0,171.0,1.0,1.0,1.0,135.0
 ,33.0,0.0,173.0,48.0,14.0,330.0,125.0
 ,34.0,0.0,189.0,28.0,6.0,104.0,161.0
 ,35.0,102.0,195.0,3.0,2.0,5.0,90.0
 ,36.0,0.0,196.0,105.0,26.0,1564.0,91.0
 ,37.0,100.0,215.0,5.0,4.0,12.0,110.0
 ,38.0,15.0,220.0,6.0,2.0,10.0,199.0
 ,39.0,31.0,220.0,11.0,3.0,20.0,178.0
 ,40.0,0.0,225.0,8.0,2.0,15.0,217.0
 ,41.0,15.0,224.0,7.0,1.0,7.0,202.0
 ,42.0,19.0,226.0,7.0,2.0,9.0,200.0
 ,43.0,41.0,227.0,1.0,1.0,1.0,185.0
 ,44.0,44.0,227.0,1.0,1.0,1.0,182.0
 ,45.0,0.0,237.0,5.0,1.0,5.0,232.0
 ,46.0,14.0,237.0,4.0,1.0,4.0,219.0
 ,47.0,36.0,237.0,3.0,1.0,3.0,198.0
 ,48.0,0.0,237.0,105.0,32.0,1784.0,132.0
 ,49.0,94.0,255.0,1.0,1.0,1.0,160.0
 ,50.0,19.0,258.0,1.0,1.0,1.0,238.0
 ,51.0,19.0,280.0,11.0,3.0,23.0,250.0
 ,52.0,0.0,281.0,105.0,29.0,1572.0,176.0
 ,53.0,0.0,323.0,105.0,25.0,1535.0,218.0
 ,54.0,35.0,328.0,20.0,1.0,20.0,273.0
 ,55.0,3.0,349.0,3.0,3.0,5.0,343.0
 ,56.0,0.0,350.0,2.0,3.0,6.0,348.0
 ,57.0,0.0,366.0,105.0,26.0,1920.0,261.0
 ,58.0,45.0,388.0,1.0,1.0,1.0,342.0
 ,59.0,70.0,388.0,2.0,1.0,2.0,316.0
 ,60.0,3.0,397.0,1.0,2.0,2.0,393.0
 ,61.0,3.0,410.0,10.0,2.0,14.0,397.0
 ,62.0,0.0,410.0,105.0,25.0,1511.0,305.0
 ,63.0,41.0,410.0,1.0,1.0,1.0,368.0
 ,64.0,43.0,410.0,9.0,2.0,10.0,358.0
 ,65.0,64.0,410.0,8.0,4.0,19.0,338.0
 ,66.0,103.0,435.0,2.0,1.0,2.0,330.0
 ,67.0,0.0,460.0,105.0,19.0,1441.0,355.0
 ,68.0,0.0,507.0,105.0,18.0,1259.0,402.0
 ,69.0,41.0,522.0,4.0,1.0,4.0,477.0
 ,70.0,0.0,553.0,105.0,18.0,1191.0,448.0
 ,71.0,100.0,555.0,5.0,1.0,5.0,450.0
 ,72.0,41.0,569.0,1.0,1.0,1.0,527.0
 ,73.0,99.0,575.0,6.0,4.0,15.0,470.0
 ,74.0,41.0,580.0,5.0,1.0,5.0,534.0
 ,75.0,0.0,600.0,105.0,22.0,1294.0,495.0
 ,76.0,19.0,614.0,20.0,3.0,41.0,575.0
 ,77.0,89.0,617.0,2.0,1.0,2.0,526.0
 ,78.0,64.0,636.0,1.0,1.0,1.0,571.0
 ,79.0,18.0,641.0,5.0,1.0,5.0,618.0
 ,80.0,0.0,643.0,105.0,21.0,1237.0,538.0
 ,81.0,41.0,656.0,4.0,1.0,4.0,611.0
 ,82.0,46.0,656.0,1.0,1.0,1.0,609.0
 ,83.0,0.0,658.0,1.0,1.0,1.0,657.0
 ,84.0,2.0,658.0,2.0,1.0,2.0,654.0
 ,85.0,29.0,662.0,4.0,2.0,6.0,629.0
 ,86.0,37.0,663.0,2.0,1.0,2.0,624.0
 ,87.0,40.0,664.0,1.0,1.0,1.0,623.0
 ,88.0,58.0,678.0,6.0,1.0,6.0,614.0
 ,89.0,0.0,693.0,105.0,17.0,1257.0,588.0
 ,90.0,0.0,735.0,105.0,24.0,1415.0,630.0
 ,91.0,101.0,760.0,4.0,1.0,4.0,655.0
 ,92.0,0.0,779.0,105.0,23.0,1515.0,674.0
 ,93.0,4.0,782.0,2.0,1.0,2.0,776.0
 ,94.0,81.0,798.0,1.0,1.0,1.0,716.0
 ,95.0,1.0,800.0,3.0,1.0,3.0,796.0
 ,96.0,15.0,820.0,1.0,1.0,1.0,804.0
 ,97.0,17.0,820.0,31.0,7.0,88.0,772.0
 ,98.0,0.0,826.0,105.0,17.0,1336.0,721.0
 ,99.0,0.0,864.0,1.0,1.0,1.0,863.0
 ,100.0,2.0,864.0,6.0,3.0,10.0,856.0
 ,101.0,5.0,868.0,1.0,1.0,1.0,862.0
 ,102.0,0.0,871.0,105.0,17.0,1237.0,766.0
 ,103.0,26.0,872.0,2.0,1.0,2.0,844.0
 ,104.0,3.0,897.0,1.0,1.0,1.0,893.0
 ,105.0,0.0,914.0,64.0,16.0,767.0,850.0
 ,106.0,70.0,916.0,35.0,17.0,499.0,811.0
 ,107.0,104.0,934.0,1.0,1.0,1.0,829.0
 ,108.0,0.0,962.0,64.0,4.0,211.0,898.0
 ,109.0,66.0,963.0,39.0,3.0,104.0,858.0
702830_original_S_41_T_6_C_44-16-21_GCaMPkitKI_40x_Ileum_nicardipine200nM_Cntrl_my_STMap.jpg,1.0,3.0,0.0,76.0,8.0,390.0,79.0
 ,2.0,28.0,8.0,1.0,1.0,1.0,21.0
 ,3.0,0.0,70.0,105.0,27.0,2254.0,35.0
 ,4.0,0.0,169.0,105.0,28.0,2317.0,64.0
 ,5.0,19.0,169.0,13.0,1.0,13.0,137.0
 ,6.0,0.0,251.0,105.0,28.0,2433.0,146.0
 ,7.0,0.0,329.0,105.0,27.0,1991.0,224.0
 ,8.0,67.0,351.0,5.0,1.0,5.0,279.0
 ,9.0,0.0,408.0,105.0,24.0,1970.0,303.0
 ,10.0,0.0,485.0,105.0,24.0,2000.0,380.0
 ,11.0,69.0,486.0,2.0,1.0,2.0,415.0
 ,12.0,0.0,564.0,105.0,24.0,1913.0,459.0
 ,13.0,0.0,653.0,105.0,29.0,2271.0,548.0
 ,14.0,0.0,746.0,105.0,28.0,2329.0,641.0
 ,15.0,0.0,835.0,105.0,26.0,2285.0,730.0
 ,16.0,0.0,921.0,105.0,31.0,2670.0,816.0
702830_original_S_41_T_6_C_4_3-1-31_GCaMPKI_Duodenum_TTX1uM_secretin500nM3_A2_STMapCell.jpg,1.0,71.0,0.0,16.0,8.0,93.0,87.0
 ,2.0,0.0,12.0,12.0,4.0,38.0,0.0
 ,3.0,0.0,13.0,105.0,20.0,1495.0,92.0
 ,4.0,69.0,73.0,6.0,1.0,6.0,2.0
 ,5.0,76.0,73.0,5.0,3.0,9.0,8.0
 ,6.0,0.0,74.0,105.0,26.0,1393.0,31.0
 ,7.0,60.0,74.0,4.0,1.0,4.0,10.0
 ,8.0,0.0,142.0,105.0,17.0,1341.0,37.0
 ,9.0,0.0,208.0,105.0,21.0,1586.0,103.0
 ,10.0,0.0,227.0,3.0,1.0,3.0,224.0
 ,11.0,0.0,266.0,105.0,24.0,1722.0,161.0
 ,12.0,101.0,325.0,2.0,1.0,2.0,222.0
 ,13.0,0.0,326.0,105.0,25.0,1516.0,221.0
 ,14.0,80.0,343.0,21.0,8.0,133.0,242.0
 ,15.0,29.0,383.0,1.0,1.0,1.0,353.0
 ,16.0,76.0,382.0,20.0,2.0,29.0,286.0
 ,17.0,0.0,385.0,105.0,19.0,1314.0,280.0
 ,18.0,56.0,402.0,28.0,10.0,207.0,318.0
 ,19.0,24.0,440.0,4.0,1.0,4.0,412.0
 ,20.0,0.0,443.0,105.0,18.0,1285.0,338.0
 ,21.0,0.0,496.0,105.0,27.0,1865.0,391.0
 ,22.0,72.0,500.0,4.0,1.0,4.0,424.0
 ,23.0,83.0,500.0,1.0,1.0,1.0,416.0
 ,24.0,85.0,500.0,2.0,1.0,2.0,413.0
 ,25.0,0.0,559.0,105.0,22.0,1358.0,454.0
 ,26.0,72.0,562.0,1.0,1.0,1.0,489.0
 ,27.0,42.0,577.0,27.0,11.0,186.0,508.0
 ,28.0,0.0,615.0,105.0,21.0,1231.0,510.0
 ,29.0,30.0,618.0,4.0,1.0,4.0,584.0
 ,30.0,59.0,619.0,17.0,2.0,26.0,543.0
 ,31.0,47.0,677.0,10.0,2.0,11.0,620.0
 ,32.0,71.0,677.0,8.0,1.0,8.0,598.0
 ,33.0,0.0,678.0,105.0,19.0,1282.0,573.0
 ,34.0,0.0,735.0,105.0,22.0,1561.0,630.0
 ,35.0,0.0,749.0,14.0,12.0,114.0,735.0
 ,36.0,82.0,757.0,1.0,1.0,1.0,674.0
 ,37.0,0.0,795.0,105.0,25.0,1580.0,690.0
 ,38.0,66.0,815.0,17.0,8.0,80.0,732.0
 ,39.0,0.0,852.0,105.0,31.0,1685.0,747.0
 ,40.0,101.0,854.0,2.0,1.0,2.0,751.0
 ,41.0,104.0,854.0,1.0,1.0,1.0,749.0
 ,42.0,0.0,911.0,105.0,18.0,1435.0,806.0
 ,43.0,16.0,929.0,51.0,13.0,453.0,862.0
 ,44.0,12.0,931.0,1.0,1.0,1.0,918.0
